num_correct,num_samples,loss,client_id,round_number
1,372,4.131080865859985,f0001_41,0
1,358,4.131266832351685,f0003_42,0
0,316,4.1352893829345705,f0005_26,0
0,338,4.131905237833659,f0007_14,0
1,340,4.1349170207977295,f0009_06,0
1,344,4.13472048441569,f0000_14,0
1,364,4.132250865300496,f0002_01,0
1,284,4.135368347167969,f0004_09,0
1,342,4.130959113438924,f0006_12,0
1,377,4.13328488667806,f0008_45,0
19,372,3.689432462056478,f0001_41,1
24,358,3.7278065284093223,f0003_42,1
25,316,3.668473720550537,f0005_26,1
23,338,3.922203262646993,f0007_14,1
26,340,3.686407486597697,f0009_06,1
23,344,3.7311987479527793,f0000_14,1
27,364,3.6840842962265015,f0002_01,1
23,284,3.698032569885254,f0004_09,1
19,342,3.6829433043797812,f0006_12,1
21,377,3.6816964546839395,f0008_45,1
19,372,3.664824644724528,f0001_41,2
21,358,3.6832207441329956,f0003_42,2
22,316,3.612100887298584,f0005_26,2
23,338,3.924435257911682,f0007_14,2
26,340,3.65459676583608,f0009_06,2
23,344,3.6952737967173257,f0000_14,2
25,364,3.6524475812911987,f0002_01,2
21,284,3.676363229751587,f0004_09,2
19,342,3.6707760095596313,f0006_12,2
20,377,3.652992367744446,f0008_45,2
38,372,3.620588501294454,f0001_41,3
45,358,3.6007709900538125,f0003_42,3
53,316,3.5017958164215086,f0005_26,3
44,338,3.9376688400904336,f0007_14,3
16,340,3.639019012451172,f0009_06,3
45,344,3.645266890525818,f0000_14,3
47,364,3.5834726889928183,f0002_01,3
24,284,3.5998844623565676,f0004_09,3
25,342,3.6338692903518677,f0006_12,3
52,377,3.5672626892725625,f0008_45,3
25,344,3.581395943959554,f0000_14,4
34,364,3.506072481473287,f0002_01,4
25,284,3.520624113082886,f0004_09,4
19,342,3.52882186571757,f0006_12,4
25,377,3.5121500889460244,f0008_45,4
22,372,3.550803621610006,f0001_41,4
35,358,3.5576833883921304,f0003_42,4
30,316,3.4784757614135744,f0005_26,4
24,338,3.7640722195307412,f0007_14,4
28,340,3.5625250339508057,f0009_06,4
59,372,3.22016712029775,f0001_41,5
122,358,3.155630270640055,f0003_42,5
103,316,3.0712962627410887,f0005_26,5
71,338,3.4413850704828897,f0007_14,5
38,340,3.3653836647669473,f0009_06,5
58,344,3.284520069758097,f0000_14,5
122,364,3.0972045262654624,f0002_01,5
83,284,3.0799649238586424,f0004_09,5
51,342,3.1935348510742188,f0006_12,5
102,377,3.10465145111084,f0008_45,5
104,344,2.752671003341675,f0000_14,6
159,364,2.4185739556948342,f0002_01,6
97,284,2.57810492515564,f0004_09,6
98,342,2.5522569020589194,f0006_12,6
199,377,2.226654291152954,f0008_45,6
137,372,2.4538903633753457,f0001_41,6
157,358,2.473601460456848,f0003_42,6
126,316,2.471467113494873,f0005_26,6
95,338,3.077613671620687,f0007_14,6
67,340,2.7851675351460776,f0009_06,6
143,344,2.2413518031438193,f0000_14,7
199,364,1.8752326369285583,f0002_01,7
107,284,2.376425361633301,f0004_09,7
116,342,2.2026065587997437,f0006_12,7
255,377,1.5596015850702922,f0008_45,7
187,372,1.838259180386861,f0001_41,7
206,358,1.901756743590037,f0003_42,7
125,316,2.2628852844238283,f0005_26,7
127,338,2.451087156931559,f0007_14,7
79,340,2.637853741645813,f0009_06,7
192,372,1.7209081053733826,f0001_41,8
266,358,1.2230256299177806,f0003_42,8
172,316,1.6740480661392212,f0005_26,8
125,338,2.6177041133244834,f0007_14,8
98,340,2.5207261045773826,f0009_06,8
150,344,1.9457887411117554,f0000_14,8
228,364,1.3696485956509907,f0002_01,8
135,284,2.037655162811279,f0004_09,8
140,342,1.9449124733606975,f0006_12,8
270,377,1.2047059039274852,f0008_45,8
166,344,1.612755278746287,f0000_14,9
217,364,1.476752777894338,f0002_01,9
146,284,1.9629735469818115,f0004_09,9
189,342,1.4773333966732025,f0006_12,9
309,377,0.8682520687580109,f0008_45,9
247,372,1.2056655784447987,f0001_41,9
210,358,1.5569058259328206,f0003_42,9
133,316,2.222488594055176,f0005_26,9
157,338,1.8566668033599854,f0007_14,9
160,340,1.7918652296066284,f0009_06,9
263,372,0.9891117314497629,f0001_41,10
271,358,1.0612581968307495,f0003_42,10
192,316,1.4901940822601318,f0005_26,10
168,338,1.9695193767547607,f0007_14,10
135,340,1.9612047870953877,f0009_06,10
188,344,1.425777792930603,f0000_14,10
260,364,0.983619232972463,f0002_01,10
157,284,1.7845922708511353,f0004_09,10
192,342,1.411553959051768,f0006_12,10
319,377,0.5928182651599249,f0008_45,10
