Welcome to eht-imaging! v 1.2.3 



performance for const limit of 100000000.0 and ops limit of 999000000000.0

diameter,number,sensitivity,fidelity,OPEX,CAPEX,norm sens,norm fid,TCO,norm TCO
4,8.96,16.0,80.28160000000001,10211440.97260274,94319200.0,0.07111111111111111,1.0,196433609.7260274,0.0
5,7.2,25.0,51.84,8862050.771689499,93946350.0,0.1111111111111111,0.6457270408163265,182566857.71689498,0.19171506718953388
6,6.36,36.0,40.449600000000004,8159670.716894977,92942900.0,0.16,0.5038464604591837,174539607.16894978,0.3026959859463569
7,5.56,49.0,30.913599999999995,7536159.894977169,93403750.0,0.21777777777777776,0.3850645727040815,168765348.9497717,0.38252811258498026
8,4.88,64.0,23.8144,7111800.598173518,91583000.0,0.28444444444444444,0.29663584183673464,162701005.98173517,0.46637081192883634
9,4.28,81.0,18.3184,6577440.735159818,90753250.0,0.36,0.22817681760204078,156527657.35159817,0.5517205713124095
10,3.8,100.0,14.44,6098999.721461189,89845500.0,0.4444444444444444,0.17986686862244894,150835497.2146119,0.6304176492148064
11,3.36,121.0,11.289599999999998,5801988.963470319,87062250.0,0.5377777777777778,0.14062499999999997,145082139.6347032,0.7099608136321977
12,3.08,144.0,9.4864,5576729.776255708,87767200.0,0.64,0.11816406249999999,143534497.7625571,0.7313577683991408
13,3.0,169.0,9.0,5600388.716894977,92254650.0,0.7511111111111111,0.11210538903061223,148258537.16894978,0.6660454637148051
14,2.72,196.0,7.398400000000001,5283315.0,89487900.0,0.8711111111111111,0.09215561224489796,142321050.0,0.7481343155802264
15,2.04,225.0,4.1616,4761705.347031965,76486550.0,1.0,0.05183753188775509,124103603.47031966,1.0










performance for const limit of 999000000000.0 and ops limit of 10000000.0

diameter,number,sensitivity,fidelity,OPEX,CAPEX,norm sens,norm fid,TCO,norm TCO
4,8.16,16.0,66.5856,9652743.392694063,87284800.0,0.07111111111111111,0.980676783862758,183812233.92694062,1.0
5,8.08,25.0,65.2864,9602773.995433789,100511950.0,0.1111111111111111,0.9615420869073429,196539689.9543379,0.9200216433122262
6,8.24,36.0,67.8976,9638164.881278537,117117100.0,0.16,1.0,213498748.8127854,0.8134522192615636
7,8.12,49.0,65.93439999999998,9663931.529680366,129673750.0,0.21777777777777776,0.9710858704873219,226313065.29680365,0.7329280381319893
8,8.0,64.0,64.0,9547937.630136989,142835800.0,0.28444444444444444,0.9425959091337544,238315176.3013699,0.6575076938885567
9,8.08,81.0,65.2864,9595006.598173516,160063350.0,0.36,0.9615420869073429,256013415.98173517,0.5462933142941592
10,8.04,100.0,64.64159999999998,9560974.954337902,174013500.0,0.4444444444444444,0.9520454331228201,269623249.543379,0.4607701649144808
11,8.16,121.0,66.5856,9568327.657534247,190931650.0,0.5377777777777778,0.980676783862758,286614926.5753425,0.35399577076528876
12,7.92,144.0,62.7264,9629932.05022831,199496400.0,0.64,0.9238382505419926,295795720.5022831,0.29630436646695796
13,8.04,169.0,64.64159999999998,9668773.310502285,218488850.0,0.7511111111111111,0.9520454331228201,315176583.10502285,0.1745165135903109
14,8.04,196.0,64.64159999999998,9700682.899543377,232938500.0,0.8711111111111111,0.9520454331228201,329945328.99543375,0.08171084809739913
15,8.08,225.0,65.2864,9532883.721461188,247619650.0,1.0,0.9615420869073429,342948487.2146119,0.0










performance for const limit of 100000000.0 and ops limit of 10000000.0

diameter,number,sensitivity,fidelity,OPEX,CAPEX,norm sens,norm fid,TCO,norm TCO
4,8.08,16.0,65.2864,9643480.744292235,86386400.0,0.07111111111111111,1.0,182821207.44292235,0.03124634738918947
5,7.44,25.0,55.35360000000001,9137738.9086758,93284750.0,0.1111111111111111,0.847858053132046,184662139.086758,0.0
6,6.4,36.0,40.96000000000001,8244802.872146117,93297100.0,0.16,0.6273894716204295,175745128.72146118,0.15134945639075784
7,5.36,49.0,28.729600000000005,7438380.07762557,92041650.0,0.21777777777777776,0.44005489657876684,166425450.7762557,0.3095334365544765
8,4.88,64.0,23.8144,7095434.707762557,92827000.0,0.28444444444444444,0.3647681599843152,163781347.07762557,0.35441211685588053
9,4.16,81.0,17.305600000000002,6357075.4474885855,89589150.0,0.36,0.26507205175963144,153159904.47488585,0.5346911002993168
10,3.76,100.0,14.137599999999999,6123560.287671234,88456500.0,0.4444444444444444,0.2165473973139888,149692102.87671235,0.5935505010685667
11,3.24,121.0,10.497600000000002,5681534.634703195,86248750.0,0.5377777777777778,0.16079305950397024,143064096.34703195,0.7060484285270295
12,3.04,144.0,9.2416,5519961.575342465,86297200.0,0.64,0.14155474953435937,141496815.75342464,0.7326500647410471
13,3.0,169.0,9.0,5451982.278538811,93568250.0,0.7511111111111111,0.13785413194784826,148088072.7853881,0.620775890791242
14,2.64,196.0,6.969600000000001,5236942.333333333,87007900.0,0.8711111111111111,0.10675423978041369,139377323.3333333,0.7686244566576004
15,2.08,225.0,4.3264000000000005,4835079.009132422,77394650.0,1.0,0.06626801293990786,125745440.09132421,1.0



